更新时间: 2026-09-07 04:13:55（北京时间）仅供娱乐，切勿商用。

更新时间,#genre#
2026-09-07 04:13:55,http://kakaxi.indevs.in/Disclaimer.mp4

央视频道,#genre#
CCTV1,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv1hd/1200/index.m3u8?msisdn=488605c1d8ccdeb229a17512ed9d805e&mdspid=&spid=699004&netType=0&sid=2201057821&pid=2028597139&timestamp=20260907032041&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=39.103.182.111&SecurityKey=20260907032041&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=bee63d5743342a2e3727e89692b2bb24&ddCalcu=4b2evbeab6y23abd2597649383e4722a723e&sv=10004&ct=android$仅供娱乐
CCTV1,https://itv.1920.qzz.io/api/ysp.php?id=cctv1$切勿商用
CCTV2,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv2hd/1500/index.m3u8?msisdn=010a87c1617e68543c7fa9b8bf607147&mdspid=&spid=699004&netType=0&sid=5500346945&pid=2028597139&timestamp=20260907032041&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=631780532&ParentNodeID=-99&assertID=5500346945&client_ip=39.103.188.159&SecurityKey=20260907032041&promotionId=&mvid=5101064231&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=039a5ba8b94f27ae1c53ec98d2bd57e1&ddCalcu=10e3v79a5azd5abb2ad88b99c4ef3257ca1e&sv=10004&ct=android
CCTV2,https://itv.1920.qzz.io/api/ysp.php?id=cctv2
CCTV3,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=96081cd88935e7f9d06931d778d58862&mdspid=&spid=699004&netType=0&sid=5500212864&pid=2028597139&timestamp=20260907032041&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=39.103.188.159&SecurityKey=20260907032041&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=873ce37d9b1a93b72cb113d69e0e32b0&ddCalcu=08b7v23a3caeea03e79d69db311a19b3cb27&sv=10004&ct=android
CCTV3,https://itv.1920.qzz.io/api/ysp.php?id=cctv3
CCTV4,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv4hd/1500/index.m3u8?msisdn=21e0932bc92c85c5adc5d07865be5f72&mdspid=&spid=699004&netType=0&sid=5500346947&pid=2028597139&timestamp=20260907032041&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=39.103.182.111&SecurityKey=20260907032041&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=2dc3ab5d3b4aaf248d57cd40f9560697&ddCalcu=729dv6ca03y6aa5b95fd034bd4ca7a5fd284&sv=10004&ct=android
CCTV4,https://itv.1920.qzz.io/api/ysp.php?id=cctv4
CCTV4欧洲,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv4ouhd/51/index.m3u8?msisdn=25d8110350bd9d926428c1b65390583b&mdspid=&spid=699004&netType=0&sid=2200179315&pid=2028597139&timestamp=20260907032047&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=608807419&ParentNodeID=-99&assertID=2200179315&client_ip=39.103.188.159&SecurityKey=20260907032047&promotionId=&mvid=2200179315&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=0fcc18fca00765f8f0f41a6d67e8bbc9&ddCalcu=90cfvbcabcy81ae87f6cda60a01746f50ff8&sv=10004&ct=android
CCTV4美洲,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv4meihd/51/index.m3u8?msisdn=d55e5dfee37dc7db2dae450974e3b235&mdspid=&spid=699004&netType=0&sid=2200179344&pid=2028597139&timestamp=20260907032047&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=608807416&ParentNodeID=-99&assertID=2200179344&client_ip=39.103.188.159&SecurityKey=20260907032047&promotionId=&mvid=2200179344&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=54bade81074bc090295b2f07bce284c5&ddCalcu=55c4v4ba8ay2daeec8b17007f42bbc509920&sv=10004&ct=android
CCTV5,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv5hdnew/1200/index.m3u8?msisdn=c813acf0873f32807ba36e049f0dacca&mdspid=&spid=699004&netType=0&sid=5500516171&pid=2028597139&timestamp=20260907032041&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=641886683&ParentNodeID=-99&assertID=5500516171&client_ip=39.103.182.111&SecurityKey=20260907032041&promotionId=&mvid=5102048712&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=9e2b8875090391945e1ad3f316915439&ddCalcu=993ev42a5bw18a98671530f930d3a911e954&sv=10004&ct=android
CCTV5,https://itv.1920.qzz.io/api/ysp.php?id=cctv5
CCTV5+,http://gslbmgsplive.miguvideo.com/wd_r2/cctv/cctv5plusnew/1200/index.m3u8?msisdn=df551709d5e729c02724436c0f522cf3&mdspid=&spid=699004&netType=0&sid=5500516288&pid=2028597139&timestamp=20260907032043&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=641886773&ParentNodeID=-99&assertID=5500516288&client_ip=39.103.182.111&SecurityKey=20260907032043&promotionId=&mvid=5102048803&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=db86ba841a29e1b54ca0b542f077f66a&ddCalcu=ad6bv68af6x7ba7a08f4214a52b90ea1cb45&sv=10004&ct=android
CCTV5+,https://itv.1920.qzz.io/api/ysp.php?id=cctv5p
CCTV6,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv6hd/2000/index.m3u8?msisdn=b8092e85dcc9699e722cebae6c9c0d6c&mdspid=&spid=699004&netType=0&sid=5500212872&pid=2028597139&timestamp=20260907032043&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=624878396&ParentNodeID=-99&assertID=5500212872&client_ip=39.103.188.159&SecurityKey=20260907032043&promotionId=&mvid=5100001694&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=d9a0d26d0ed0d1a510e4e74cd1bdf3ff&ddCalcu=fdf9v3aaf0bddab216ddc04e7de04de10a15&sv=10004&ct=android
CCTV6,https://itv.1920.qzz.io/api/ysp.php?id=cctv6
CCTV7,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv7hd/51/index.m3u8?msisdn=51df882572fc0865a7b464a07245129a&mdspid=&spid=699004&netType=0&sid=5501083622&pid=2028597139&timestamp=20260907032043&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=673168121&ParentNodeID=-99&assertID=5501083622&client_ip=39.103.182.111&SecurityKey=20260907032043&promotionId=&mvid=5102910278&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=e723be94bf8f361918eb37fe9ea1787d&ddCalcu=de77v82a73d1baaee994ebff783fb3e68119&sv=10004&ct=android
CCTV7,https://itv.1920.qzz.io/api/ysp.php?id=cctv7
CCTV8,http://gslbmgsplive.miguvideo.com/wd_r2/2018/ocn/cctv8hd/2000/index.m3u8?msisdn=16f2ccc9590dfac8b6756bfd025dccf2&mdspid=&spid=699004&netType=0&sid=5500212868&pid=2028597139&timestamp=20260907032043&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=624878356&ParentNodeID=-99&assertID=5500212868&client_ip=39.103.188.159&SecurityKey=20260907032043&promotionId=&mvid=5100001695&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=84d4fbf14bbdebb1c0739264f880eb32&ddCalcu=2834vbdae4b0fa8b8ff1446b2b9d3e7b0bc1&sv=10004&ct=android
CCTV8,https://itv.1920.qzz.io/api/ysp.php?id=cctv8
